tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,intensity_std
676,43.795100000038175,22.643399999590216,14.7,0.197,4.775,3.4,62.2,324.2,12.185301514210982
677,51.89210000010524,59.91639999963492,5.4,0.051,1.725,2.6,7,14.1,11.519685217647083
678,54.37610000004377,80.91139999974668,4.8,0.051,0.875,2.2,2.1,4.9,15.432644809355716
679,35.03410000009779,29.52839999983236,17.8,0.131,5.225,9,72.4,330.4,11.04913578761274
680,44.990100000103375,62.24839999957159,2.7,0.075,0.8,2.7,1.9,2.4,15.275666124062608
681,35.59010000008009,62.75339999992549,4.4,0.047,2.025,2.1,10.5,28.8,10.798956697240982
682,35.54110000008103,30.260399999675897,10,0.058,1.5499999999999998,5.2,6.4,18.8,12.068492752896969
683,55.01510000001024,66.7493999997355,6.9,0.117,1.475,2.8,5.1,10.3,12.316698354207055
684,45.045100000038175,67.47939999971688,9.9,0.108,1.025,3.7,2.6,7.3,16.208746610624452
685,40.31910000001397,81.4544,4.5,0.142,2.5250000000000004,2,14.2,37.5,11.496734932887437
686,22.194100000013968,40.63239999964982,14.6,0.238,2.675,3.9,19.3,73.2,11.710680660323884
687,54.46510000008009,89.66139999974668,7.1,0,1.775,2.9,8.5,17.7,8.698787528139677
688,30.65610000007171,85.51739999989196,7.4,0.116,2.1500000000000004,3.9,8.8,22.7,8.086864124588026
689,71.20510000007079,67.13839999970197,4.2,0.1,1.875,1.5,10.1,27.7,11.973490993197805
690,58.566100000104306,59.76439999986589,18.2,0.156,2.85,8.6,23.2,79.8,12.276412279834686
691,54.51610000005774,44.95539999950826,2.8,0.037,0.75,1.6,1.4,2.3,10.610547082189743
692,38.680100000047496,43.41139999974668,5.4,0.067,1.9,1.8,10.5,33.6,9.04198724983831
693,54.53710000000745,49.44539999973178,4.2,0.059,0.95,1.5,2.5,6.5,10.517613414669366
